Name,Type,Phone,Address,Lat,Lon
"Tsidau Health Post","hospital","N/A","N/A",12.3004044,8.1492133
"Waire Health Post","hospital","N/A","N/A",12.3455345,8.2209789
"Yangwarzo Health Post","hospital","N/A","N/A",12.2743958,8.1558689
"Mariri Primary Health Centre","hospital","N/A","N/A",11.9498774,8.6091166
"Kokai Health Post","hospital","N/A","N/A",12.2187898,8.0221474
"Yanmamman Health Post","hospital","N/A","N/A",12.2622436,8.0413869
"Gwarabjawa Health Post","hospital","N/A","N/A",12.4479598,8.5418922
"Mazan Gudu Health Post","hospital","N/A","N/A",12.1953802,8.9072145
"Unknown","clinic","N/A","balari layinwaziri gombe",11.6988333,9.0859746
"Kano Emergency Operations Center","hospital","N/A","Hospital Road Nassara LGA Kano",11.995892,8.5495487
"Amino Kanu Teaching Hospital","hospital","N/A","N/A",11.9767135,8.5942116
"Unknown","hospital","N/A","N/A",11.9829314,8.5126277
"MUHAMMADIYA","hospital","N/A","N/A",12.0415267,8.5633656
"DAN TAMASHE HOSPITAL","hospital","N/A","N/A",12.0491196,8.5798504
"DALAL CLINIC","clinic","N/A","N/A",12.0462755,8.5670098
"J MEDICAL CENTER","clinic","N/A","N/A",12.0524717,8.5759033
"MADADI","clinic","N/A","N/A",11.9589743,8.4731607
"FIRST CLASS CLINIC AND MATERNITY","clinic","N/A","N/A",11.963053,8.479553
"RAHAMA CHEMIST","clinic","N/A","N/A",11.9653732,8.4762515
"DORAYI KARAMA PRIMARY HEALTH CARE","hospital","N/A","N/A",11.9650158,8.4768162
"MUBARAKUN MEDICINE","clinic","N/A","N/A",11.9626895,8.4739058
"Al Ihsan Clinics and Surgery","birthing_center;blood_donation;clinic;doctor;hospital;laboratory;pharmacy","N/A","5  Kano",11.9458206,8.5577364
